Pl 1 hand,Pl 2 hand,Round,Surface,Best of,Final TB?,Year,tournament_level,p1_previous_matches,p2_previous_matches,experience_diff,p1_previous_win_rate,p2_previous_win_rate,win_rate_diff,p1_surface_matches,p2_surface_matches,surface_experience_diff,p1_surface_win_rate,p2_surface_win_rate,surface_win_rate_diff,target
R,R,R128,Grass,5,T,2021,Grand Slam,0,2,-2,0.5,0.0,0.5,0,0,0,0.5,0.5,0.0,0
R,R,QF,Grass,5,T,2021,Grand Slam,19,5,14,0.47368421052631576,1.0,-0.5263157894736843,2,1,1,0.0,1.0,-1.0,1
R,R,R64,Grass,5,T,2021,Grand Slam,5,3,2,0.6,0.3333333333333333,0.26666666666666666,0,0,0,0.5,0.5,0.0,1
R,R,R64,Grass,5,T,2021,Grand Slam,10,8,2,0.8,0.625,0.17500000000000004,1,1,0,1.0,1.0,0.0,1
R,R,R64,Grass,5,0,2021,Grand Slam,3,6,-3,0.3333333333333333,0.8333333333333334,-0.5,0,2,-2,0.5,0.5,0.0,0
R,L,R32,Grass,5,T,2021,Grand Slam,3,4,-1,0.6666666666666666,0.75,-0.08333333333333337,1,0,1,1.0,0.5,0.5,0
L,R,R32,Grass,5,T,2021,Grand Slam,6,7,-1,0.3333333333333333,0.8571428571428571,-0.5238095238095237,1,3,-2,0.0,0.6666666666666666,-0.6666666666666666,0
R,R,R32,Grass,5,0,2021,Grand Slam,20,5,15,0.5,0.4,0.09999999999999998,3,0,3,0.3333333333333333,0.5,-0.16666666666666669,1
L,R,F,Clay,3,1,2021,ATP 250,0,1,-1,0.5,1.0,-0.5,0,1,-1,0.5,1.0,-0.5,1
R,R,R16,Grass,5,1,2021,Grand Slam,4,7,-3,0.25,0.7142857142857143,-0.4642857142857143,1,0,1,1.0,0.5,0.5,1
R,R,R16,Grass,5,T,2021,Grand Slam,3,8,-5,0.0,0.875,-0.875,1,4,-3,0.0,0.75,-0.75,0
R,R,R16,Grass,5,0,2021,Grand Slam,21,6,15,0.5238095238095238,0.6666666666666666,-0.1428571428571428,4,1,3,0.5,1.0,-0.5,1
R,R,QF,Grass,5,T,2021,Grand Slam,5,11,-6,0.4,0.8181818181818182,-0.4181818181818182,2,2,0,1.0,1.0,0.0,0
R,R,QF,Grass,5,T,2021,Grand Slam,7,6,1,0.8571428571428571,0.6666666666666666,0.19047619047619047,0,1,-1,0.5,1.0,-0.5,1
R,R,SF,Grass,5,T,2021,Grand Slam,22,12,10,0.5454545454545454,0.8333333333333334,-0.28787878787878796,5,3,2,0.6,1.0,-0.4,0
R,L,SF,Grass,5,T,2021,Grand Slam,8,5,3,0.875,0.8,0.07499999999999996,1,1,0,1.0,1.0,0.0,1
R,R,F,Grass,5,T,2021,Grand Slam,9,13,-4,0.8888888888888888,0.8461538461538461,0.042735042735042694,2,4,-2,1.0,1.0,0.0,1
R,R,QF,Grass,3,1,2021,ATP 250,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,1
R,R,SF,Grass,3,1,2021,ATP 250,1,1,0,1.0,0.0,1.0,1,0,1,1.0,0.5,0.5,1
R,R,F,Clay,3,1,2021,Challenger,2,9,-7,1.0,0.5555555555555556,0.4444444444444444,2,3,-1,1.0,0.6666666666666666,0.33333333333333337,1
R,R,R32,Clay,3,1,2021,ATP 250,0,4,-4,0.5,0.25,0.25,0,1,-1,0.5,0.0,0.5,0
L,R,R16,Clay,3,1,2021,ATP 250,4,2,2,0.5,1.0,-0.5,0,1,-1,0.5,1.0,-0.5,0
